MTry	OverlapUnsupRfPlink	OverlapSupRfPlink
576	0.12	0.6
577	0.11	0.65
578	0.11	0.66
579	0.08	0.59
580	0.07	0.61
581	0.14	0.6
582	0.08	0.64
583	0.11	0.6
584	0.06	0.64
585	0.1	0.56
586	0.12	0.62
587	0.11	0.63
588	0.11	0.64
589	0.1	0.59
590	0.08	0.64
591	0.07	0.59
592	0.12	0.64
593	0.15	0.64
594	0.09	0.62
595	0.08	0.58
596	0.11	0.62
597	0.07	0.61
598	0.12	0.55
599	0.08	0.6
600	0.14	0.61
601	0.09	0.62
602	0.09	0.63
603	0.13	0.68
604	0.1	0.62
605	0.09	0.61
606	0.1	0.58
607	0.09	0.63
608	0.11	0.57
609	0.09	0.6
610	0.13	0.62
611	0.09	0.62
612	0.11	0.61
613	0.08	0.63
614	0.14	0.6
615	0.09	0.57
616	0.11	0.52
617	0.09	0.6
618	0.1	0.6
619	0.12	0.64
620	0.07	0.66
621	0.12	0.63
622	0.12	0.62
623	0.13	0.59
624	0.11	0.61
625	0.11	0.61
626	0.09	0.58
627	0.1	0.6
628	0.12	0.59
629	0.11	0.62
630	0.1	0.62
631	0.09	0.59
632	0.09	0.62
633	0.13	0.61
634	0.13	0.61
635	0.11	0.65
636	0.09	0.66
637	0.1	0.6
638	0.08	0.64
639	0.1	0.59
640	0.11	0.62
641	0.08	0.65
642	0.11	0.64
643	0.12	0.66
644	0.1	0.64
645	0.1	0.66
646	0.1	0.62
647	0.12	0.55
648	0.13	0.58
649	0.12	0.59
650	0.09	0.62
651	0.1	0.64
652	0.1	0.59
653	0.13	0.61
654	0.09	0.61
655	0.11	0.62
656	0.12	0.61
657	0.08	0.59
658	0.12	0.57
659	0.09	0.65
660	0.1	0.56
661	0.1	0.63
662	0.1	0.6
663	0.1	0.64
664	0.09	0.62
665	0.1	0.6
666	0.07	0.63
667	0.13	0.62
668	0.12	0.62
669	0.11	0.62
670	0.12	0.6
671	0.1	0.64
672	0.07	0.58
673	0.12	0.6
674	0.12	0.6
675	0.12	0.59
676	0.13	0.67
677	0.11	0.62
678	0.15	0.58
679	0.13	0.6
680	0.1	0.59
681	0.1	0.59
682	0.1	0.62
683	0.12	0.59
684	0.11	0.61
685	0.09	0.59
686	0.11	0.64
687	0.12	0.63
688	0.1	0.61
689	0.07	0.64
690	0.11	0.61
691	0.11	0.64
692	0.08	0.59
693	0.11	0.66
694	0.12	0.61
695	0.14	0.61
696	0.11	0.65
697	0.07	0.63
698	0.1	0.62
699	0.11	0.53
700	0.07	0.6
701	0.12	0.6
702	0.07	0.62
703	0.11	0.63
704	0.09	0.61
705	0.16	0.59
706	0.11	0.62
707	0.12	0.58
708	0.09	0.64
709	0.11	0.59
710	0.07	0.6
